label,side,time,regime,train_edge,test_edge,test_wr,test_freq,test_n,consistency,decay_pct,validated,note
mom10>0 & rsi<35,long,all,all,0.0398,0.0659,0.411,1.2,148,0.493,-65.5,True,long | all/all | WR 41% at 1.2/day
below_kcl & macd<0 & macd_xdn,long,all,all,0.1337,0.125,0.409,1.2,148,0.491,6.5,True,long | all/all | WR 41% at 1.2/day
cci>100 & vwma_xup & macd<0,long,all,all,0.3125,0.1832,0.457,1.07,132,0.489,41.4,True,long | all/all | WR 46% at 1.1/day
after_30m & below_kcl & macd_xdn,long,all,all,0.1677,0.2039,0.43,1.13,139,0.484,-21.6,True,long | all/all | WR 43% at 1.1/day
below_kcl & vwma9>21 & ema21>50,long,all,all,0.1835,0.2047,0.42,1.14,141,0.48,-11.6,True,long | all/all | WR 42% at 1.1/day
power_hour & bullish_di & macd_xdn,short,all,all,0.0869,0.1302,0.408,1.18,145,0.48,-49.9,True,short | all/all | WR 41% at 1.2/day
power_hour & ema21>50,long,all,all,0.2435,0.1727,0.42,1.13,140,0.477,29.1,True,long | all/all | WR 42% at 1.1/day
power_hour & after_30m & ema21>50,long,all,all,0.2435,0.1727,0.42,1.13,140,0.477,29.1,True,long | all/all | WR 42% at 1.1/day
below_kcl & rsi50_xdn,long,all,all,0.3042,0.3092,0.437,1.09,134,0.475,-1.6,True,long | all/all | WR 44% at 1.1/day
after_30m & below_bbl & macd_xdn,long,all,all,0.2011,0.1919,0.421,1.13,139,0.474,4.5,True,long | all/all | WR 42% at 1.1/day
after_30m & lunch,long,all,all,0.0891,0.1295,0.447,1.05,130,0.471,-45.4,True,long | all/all | WR 45% at 1.1/day
lunch,long,all,all,0.0891,0.1295,0.447,1.05,130,0.471,-45.4,True,long | all/all | WR 45% at 1.1/day
afternoon,long,all,all,0.2774,0.2018,0.446,1.05,130,0.47,27.2,True,long | all/all | WR 45% at 1.1/day
afternoon & after_30m,long,all,all,0.2774,0.2018,0.446,1.05,130,0.47,27.2,True,long | all/all | WR 45% at 1.1/day
after_30m & vwma9>21 & below_bbl,long,all,all,0.1799,0.2824,0.464,1.01,125,0.47,-57.0,True,long | all/all | WR 46% at 1.0/day
vwma9>21 & opening_30 & price<ema9,long,all,all,0.0698,0.1395,0.431,1.09,134,0.468,-100.0,True,long | all/all | WR 43% at 1.1/day
opening_30 & vwma9>21 & price<ema9,long,all,all,0.0698,0.1395,0.431,1.09,134,0.468,-100.0,True,long | all/all | WR 43% at 1.1/day
rsi<40 & macd<0 & price>ema21,short,all,all,0.1886,0.1018,0.399,1.16,143,0.462,46.0,True,short | all/all | WR 40% at 1.2/day
vwma9>21 & rsi<35,long,all,all,0.0833,0.0732,0.402,1.15,142,0.462,12.1,True,long | all/all | WR 40% at 1.1/day
below_kcl & rsi<40 & macd_xdn,long,all,all,0.1651,0.2022,0.426,1.08,133,0.459,-22.5,True,long | all/all | WR 43% at 1.1/day
morning,short,all,all,-0.0542,0.0692,0.407,1.05,130,0.429,-227.7,True,short | all/all | WR 41% at 1.1/day
power_hour,short,all,all,0.0653,0.1152,0.419,1.02,126,0.428,-76.4,True,short | all/all | WR 42% at 1.0/day
power_hour & after_30m,long,all,all,0.1957,0.0987,0.414,1.02,126,0.422,49.5,True,long | all/all | WR 41% at 1.0/day
power_hour,long,all,all,0.1957,0.0987,0.414,1.02,126,0.422,49.5,True,long | all/all | WR 41% at 1.0/day
lunch & price<vwap,short,all,all,0.1852,0.1192,0.414,1.01,125,0.419,35.7,True,short | all/all | WR 41% at 1.0/day
lunch,short,all,all,0.045,0.1219,0.398,1.05,130,0.419,-170.8,True,short | all/all | WR 40% at 1.1/day
power_hour & above_bbu & ema21>50,long,all,all,0.1027,0.0503,0.341,1.2,148,0.409,51.0,True,long | all/all | WR 34% at 1.2/day
