label,side,time,regime,train_edge,test_edge,test_wr,test_freq,test_n,consistency,decay_pct,validated,note
bearish_di,long,all,all,0.1147,0.1041,0.41,16.1,1987,6.608,9.3,True,long | all/all | WR 41% at 16.1/day
cci<0,long,all,all,0.1288,0.1124,0.413,15.98,1972,6.6,12.7,True,long | all/all | WR 41% at 16.0/day
macd<0 & price<ema9,long,all,all,0.1226,0.1549,0.435,15.15,1870,6.592,-26.3,True,long | all/all | WR 44% at 15.2/day
after_30m & cci>0 & bullish_di,long,all,all,0.1029,0.0799,0.419,15.51,1914,6.499,22.3,True,long | all/all | WR 42% at 15.5/day
after_30m & cci<0,long,all,all,0.127,0.109,0.412,15.75,1944,6.496,14.1,True,long | all/all | WR 41% at 15.8/day
bb_pct>80 & adx>20,short,all,all,0.0768,0.1236,0.439,14.81,1827,6.495,-60.9,True,short | all/all | WR 44% at 14.8/day
cci<0 & bearish_di,long,all,all,0.1229,0.0881,0.403,16.1,1986,6.486,28.3,True,long | all/all | WR 40% at 16.1/day
macd_xdn,long,all,all,0.1182,0.1064,0.427,15.2,1875,6.483,10.0,True,long | all/all | WR 43% at 15.2/day
after_30m & bearish_di,long,all,all,0.1254,0.1027,0.412,15.71,1939,6.474,18.1,True,long | all/all | WR 41% at 15.7/day
bearish_di & rsi50_xdn,long,all,all,0.099,0.1115,0.413,15.56,1920,6.432,-12.7,True,long | all/all | WR 41% at 15.6/day
after_30m & macd<0 & price<ema9,long,all,all,0.1344,0.1639,0.437,14.72,1816,6.431,-21.9,True,long | all/all | WR 44% at 14.7/day
price<ema9 & price<vwap,long,all,all,0.125,0.1272,0.434,14.69,1813,6.372,-1.7,True,long | all/all | WR 43% at 14.7/day
price<ema9 & price>ema21,long,all,all,0.0861,0.0601,0.42,15.18,1873,6.37,30.2,True,long | all/all | WR 42% at 15.2/day
cci>0 & mom10<0,long,all,all,0.0931,0.0841,0.416,15.29,1887,6.367,9.6,True,long | all/all | WR 42% at 15.3/day
mom10<0 & rsi50_xdn,long,all,all,0.1112,0.1063,0.412,15.37,1896,6.326,4.4,True,long | all/all | WR 41% at 15.4/day
vwma9>21 & mom10>0,long,all,all,0.1278,0.0565,0.424,14.93,1842,6.324,55.8,True,long | all/all | WR 42% at 14.9/day
macd_xup,long,all,all,0.0978,0.0771,0.42,15.07,1859,6.323,21.2,True,long | all/all | WR 42% at 15.1/day
mom10<0 & ema9>21,long,all,all,0.1136,0.1122,0.426,14.81,1827,6.303,1.2,True,long | all/all | WR 43% at 14.8/day
rsi<40 & price<ema9,long,all,all,0.1087,0.0706,0.398,15.81,1951,6.288,35.0,True,long | all/all | WR 40% at 15.8/day
cci<0 & rsi<40 & price<ema9,long,all,all,0.1105,0.0765,0.4,15.71,1939,6.286,30.8,True,long | all/all | WR 40% at 15.7/day
cci>0 & price<ema9 & bullish_di,long,all,all,0.084,0.0651,0.421,14.91,1840,6.273,22.5,True,long | all/all | WR 42% at 14.9/day
cci>0 & adx>20,short,all,all,0.1138,0.1393,0.428,14.61,1803,6.259,-22.3,True,short | all/all | WR 43% at 14.6/day
cci<0 & cci<-100,long,all,all,0.1176,0.129,0.429,14.58,1799,6.259,-9.7,True,long | all/all | WR 43% at 14.6/day
cci<-100,long,all,all,0.1176,0.129,0.429,14.58,1799,6.259,-9.7,True,long | all/all | WR 43% at 14.6/day
price<ema9 & cci<-100,long,all,all,0.1176,0.129,0.429,14.58,1799,6.259,-9.7,True,long | all/all | WR 43% at 14.6/day
price<ema21 & cci<-100,long,all,all,0.1186,0.1306,0.43,14.56,1797,6.257,-10.1,True,long | all/all | WR 43% at 14.6/day
mom10<0 & cci<-100,long,all,all,0.1138,0.1305,0.429,14.51,1791,6.222,-14.7,True,long | all/all | WR 43% at 14.5/day
vwma9>21 & price<ema21,long,all,all,0.119,0.1092,0.419,14.7,1814,6.16,8.2,True,long | all/all | WR 42% at 14.7/day
price<ema21 & rsi50_xdn,long,all,all,0.1183,0.0767,0.398,15.45,1907,6.156,35.2,True,long | all/all | WR 40% at 15.4/day
cci>100 & bb_pct>80,long,all,all,0.1514,0.0904,0.426,14.41,1778,6.143,40.3,True,long | all/all | WR 43% at 14.4/day
cci>100 & cci>0 & price>ema21,long,all,all,0.1522,0.0864,0.424,14.47,1786,6.142,43.2,True,long | all/all | WR 42% at 14.5/day
cci>100 & price>ema9,long,all,all,0.1519,0.0861,0.424,14.47,1786,6.142,43.3,True,long | all/all | WR 42% at 14.5/day
cci>100,long,all,all,0.1517,0.0861,0.424,14.47,1786,6.142,43.3,True,long | all/all | WR 42% at 14.5/day
cci>100 & price>ema21,long,all,all,0.1522,0.0864,0.424,14.47,1786,6.142,43.2,True,long | all/all | WR 42% at 14.5/day
cci>100 & cci>0,long,all,all,0.1517,0.0861,0.424,14.47,1786,6.142,43.3,True,long | all/all | WR 42% at 14.5/day
cci>100 & mom10>0,long,all,all,0.1501,0.087,0.425,14.43,1781,6.139,42.0,True,long | all/all | WR 42% at 14.4/day
rsi<40,long,all,all,0.1138,0.0976,0.409,15.02,1853,6.137,14.3,True,long | all/all | WR 41% at 15.0/day
bearish_di & cci<-100,long,all,all,0.1217,0.1212,0.427,14.37,1773,6.135,0.4,True,long | all/all | WR 43% at 14.4/day
price<vwap & roc5>0,short,all,all,0.0737,0.0836,0.414,14.79,1825,6.128,-13.5,True,short | all/all | WR 41% at 14.8/day
cci>100 & roc5>0,long,all,all,0.1462,0.0856,0.425,14.36,1772,6.103,41.5,True,long | all/all | WR 42% at 14.4/day
after_30m & rsi<40 & price<ema9,long,all,all,0.1126,0.0857,0.402,15.18,1873,6.097,23.9,True,long | all/all | WR 40% at 15.2/day
cci<0 & macd<0 & price<ema9,long,all,all,0.1036,0.1337,0.427,14.29,1763,6.096,-29.1,True,long | all/all | WR 43% at 14.3/day
rsi<40 & bearish_di,long,all,all,0.1132,0.0937,0.407,14.98,1848,6.095,17.2,True,long | all/all | WR 41% at 15.0/day
vwma9>21 & ema21>50 & price<ema9,long,all,all,0.115,0.0652,0.421,14.4,1777,6.063,43.3,True,long | all/all | WR 42% at 14.4/day
cci<0 & rsi<40,long,all,all,0.1172,0.1013,0.41,14.77,1823,6.057,13.6,True,long | all/all | WR 41% at 14.8/day
after_30m & macd_xdn,long,all,all,0.1165,0.1021,0.424,14.26,1760,6.043,12.4,True,long | all/all | WR 42% at 14.3/day
mom10>0 & ema9>21,short,all,all,0.0958,0.1082,0.42,14.38,1774,6.034,-12.9,True,short | all/all | WR 42% at 14.4/day
cci>100 & cci>0 & bullish_di,long,all,all,0.1499,0.0822,0.424,14.22,1755,6.026,45.2,True,long | all/all | WR 42% at 14.2/day
cci>100 & bullish_di & price>ema21,long,all,all,0.15,0.0825,0.424,14.22,1755,6.026,45.0,True,long | all/all | WR 42% at 14.2/day
cci>100 & bullish_di,long,all,all,0.1499,0.0822,0.424,14.22,1755,6.026,45.2,True,long | all/all | WR 42% at 14.2/day
rsi<40 & mom10<0,long,all,all,0.1092,0.0961,0.409,14.68,1812,6.011,12.0,True,long | all/all | WR 41% at 14.7/day
after_30m & cci<-100,long,all,all,0.1232,0.1381,0.43,13.95,1721,5.997,-12.1,True,long | all/all | WR 43% at 13.9/day
after_30m & price<ema9 & price>ema21,long,all,all,0.089,0.0584,0.418,14.33,1768,5.989,34.4,True,long | all/all | WR 42% at 14.3/day
cci>100 & ema9>21,long,all,all,0.1462,0.0845,0.428,13.97,1724,5.975,42.2,True,long | all/all | WR 43% at 14.0/day
cci>0 & bearish_di,short,all,all,0.1065,0.0758,0.407,14.67,1810,5.965,28.8,True,short | all/all | WR 41% at 14.7/day
price<vwap & price>ema9,short,all,all,0.0883,0.1302,0.435,13.68,1688,5.955,-47.5,True,short | all/all | WR 44% at 13.7/day
after_30m & rsi<40,long,all,all,0.12,0.1111,0.412,14.47,1785,5.955,7.5,True,long | all/all | WR 41% at 14.5/day
vwma9>21 & bearish_di,long,all,all,0.1086,0.1205,0.424,14.03,1731,5.943,-11.0,True,long | all/all | WR 42% at 14.0/day
rsi<40 & price<ema21,long,all,all,0.1136,0.0911,0.408,14.56,1796,5.943,19.8,True,long | all/all | WR 41% at 14.6/day
price<ema21 & mom10>0,long,all,all,0.085,0.0862,0.416,14.26,1760,5.934,-1.4,True,long | all/all | WR 42% at 14.3/day
after_30m & cci<0 & rsi<40,long,all,all,0.1212,0.1121,0.412,14.28,1762,5.883,7.5,True,long | all/all | WR 41% at 14.3/day
cci<0 & rsi50_xdn,long,all,all,0.1107,0.0845,0.403,14.57,1798,5.872,23.6,True,long | all/all | WR 40% at 14.6/day
cci<0 & adx>20,long,all,all,0.1339,0.094,0.412,14.24,1757,5.871,29.8,True,long | all/all | WR 41% at 14.2/day
vwma9>21 & bullish_di & price>ema21,long,all,all,0.1474,0.078,0.425,13.77,1699,5.852,47.1,True,long | all/all | WR 42% at 13.8/day
price<ema21 & ema9>21,long,all,all,0.109,0.0964,0.417,14.02,1730,5.842,11.6,True,long | all/all | WR 42% at 14.0/day
adx>20 & rsi50_xdn,long,all,all,0.1286,0.1008,0.421,13.82,1705,5.822,21.6,True,long | all/all | WR 42% at 13.8/day
cci<0 & mom10>0,short,all,all,0.1235,0.0783,0.407,14.3,1765,5.817,36.6,True,short | all/all | WR 41% at 14.3/day
vwma9>21 & cci>100 & cci>0,long,all,all,0.1566,0.0823,0.426,13.63,1682,5.802,47.4,True,long | all/all | WR 43% at 13.6/day
vwma9>21 & cci>100 & price>ema21,long,all,all,0.1566,0.0827,0.426,13.63,1682,5.802,47.2,True,long | all/all | WR 43% at 13.6/day
vwma9>21 & cci>100,long,all,all,0.1566,0.0823,0.426,13.63,1682,5.802,47.4,True,long | all/all | WR 43% at 13.6/day
ema21>50 & rsi50_xdn,long,all,all,0.085,0.0761,0.411,14.04,1732,5.764,10.5,True,long | all/all | WR 41% at 14.0/day
mom10>0 & price>vwap,short,all,all,0.1012,0.081,0.405,14.22,1755,5.76,20.0,True,short | all/all | WR 40% at 14.2/day
after_30m & cci>100 & cci>0,long,all,all,0.1432,0.0701,0.418,13.69,1689,5.726,51.1,True,long | all/all | WR 42% at 13.7/day
after_30m & cci>100 & price>ema21,long,all,all,0.1438,0.0701,0.418,13.69,1689,5.726,51.3,True,long | all/all | WR 42% at 13.7/day
after_30m & cci>100,long,all,all,0.1432,0.0701,0.418,13.69,1689,5.726,51.1,True,long | all/all | WR 42% at 13.7/day
vwma9>21 & cci>100 & bullish_di,long,all,all,0.152,0.0774,0.422,13.47,1662,5.684,49.1,True,long | all/all | WR 42% at 13.5/day
ema21>50 & mom10<0,long,all,all,0.1281,0.1106,0.422,13.4,1653,5.649,13.6,True,long | all/all | WR 42% at 13.4/day
bullish_di & price<ema21,long,all,all,0.1128,0.0998,0.412,13.71,1692,5.645,11.5,True,long | all/all | WR 41% at 13.7/day
vwma9>21 & cci>0 & price>ema21,long,all,all,0.1282,0.0642,0.429,13.11,1618,5.63,49.9,True,long | all/all | WR 43% at 13.1/day
after_30m & cci>100 & bullish_di,long,all,all,0.1414,0.0654,0.417,13.45,1660,5.614,53.7,True,long | all/all | WR 42% at 13.4/day
ema21>50 & cci>0 & price<ema9,long,all,all,0.1006,0.0645,0.422,13.27,1638,5.602,35.9,True,long | all/all | WR 42% at 13.3/day
price<ema9 & macd_xdn,long,all,all,0.1261,0.1116,0.423,13.23,1632,5.599,11.5,True,long | all/all | WR 42% at 13.2/day
vwma9>21 & cci>0 & bullish_di,long,all,all,0.1394,0.0784,0.425,13.15,1623,5.59,43.8,True,long | all/all | WR 42% at 13.2/day
vwma9>21 & price>ema21,long,all,all,0.1302,0.0678,0.426,13.13,1620,5.589,47.9,True,long | all/all | WR 43% at 13.1/day
price>vwap & mom10<0,long,all,all,0.0847,0.082,0.411,13.58,1676,5.578,3.2,True,long | all/all | WR 41% at 13.6/day
rsi<40 & cci<-100,long,all,all,0.1346,0.1417,0.431,12.94,1597,5.578,-5.3,True,long | all/all | WR 43% at 12.9/day
rsi>65,short,all,all,0.0773,0.1112,0.419,13.29,1640,5.573,-43.9,True,short | all/all | WR 42% at 13.3/day
vwma9>21 & rsi50_xdn,long,all,all,0.0866,0.0704,0.406,13.69,1689,5.562,18.7,True,long | all/all | WR 41% at 13.7/day
bullish_di & adx>20,long,all,all,0.0739,0.0607,0.407,13.66,1685,5.553,17.9,True,long | all/all | WR 41% at 13.7/day
bearish_di & adx>20,long,all,all,0.1081,0.0827,0.412,13.42,1656,5.534,23.5,True,long | all/all | WR 41% at 13.4/day
vwma9>21 & bullish_di,long,all,all,0.1501,0.0852,0.427,12.92,1594,5.512,43.2,True,long | all/all | WR 43% at 12.9/day
rsi50_xdn & ema9>21,long,all,all,0.0913,0.0762,0.413,13.33,1645,5.506,16.5,True,long | all/all | WR 41% at 13.3/day
vwma9>21 & cci<0,long,all,all,0.1174,0.0972,0.413,13.3,1641,5.497,17.2,True,long | all/all | WR 41% at 13.3/day
cci>0 & price<ema9 & price>ema21,long,all,all,0.0916,0.0626,0.421,13.05,1610,5.493,31.7,True,long | all/all | WR 42% at 13.1/day
bullish_di & price>vwap,long,all,all,0.1379,0.1242,0.445,12.33,1521,5.481,9.9,True,long | all/all | WR 44% at 12.3/day
vwma9>21 & cci<0 & price<ema9,long,all,all,0.1216,0.1097,0.418,13.09,1615,5.475,9.8,True,long | all/all | WR 42% at 13.1/day
price<ema21 & price>ema9,short,all,all,0.0838,0.0601,0.408,13.4,1653,5.461,28.3,True,short | all/all | WR 41% at 13.4/day
bullish_di & ema9>21,long,all,all,0.1165,0.096,0.435,12.54,1547,5.454,17.6,True,long | all/all | WR 44% at 12.5/day
vwma9>21 & price<ema9 & price>ema21,short,all,all,0.0636,0.066,0.4,13.62,1680,5.451,-3.7,True,short | all/all | WR 40% at 13.6/day
rsi>65,long,all,all,0.095,0.0549,0.41,13.29,1640,5.445,42.2,True,long | all/all | WR 41% at 13.3/day
macd<0 & cci<-100,long,all,all,0.1127,0.1347,0.434,12.49,1541,5.416,-19.6,True,long | all/all | WR 43% at 12.5/day
after_30m & vwma9>21 & cci>100,long,all,all,0.1456,0.0633,0.417,12.97,1601,5.415,56.5,True,long | all/all | WR 42% at 13.0/day
after_30m & vwma9>21 & price>ema21,long,all,all,0.1327,0.0713,0.423,12.77,1576,5.407,46.2,True,long | all/all | WR 42% at 12.8/day
after_30m & vwma9>21 & bullish_di,long,all,all,0.1485,0.0799,0.423,12.69,1566,5.368,46.2,True,long | all/all | WR 42% at 12.7/day
rsi<40 & macd<0 & price<ema9,long,all,all,0.1092,0.1084,0.412,12.89,1591,5.317,0.7,True,long | all/all | WR 41% at 12.9/day
after_30m & price<ema9 & macd_xdn,long,all,all,0.1276,0.1126,0.424,12.55,1548,5.315,11.7,True,long | all/all | WR 42% at 12.6/day
vwma9>21 & cci>0,long,all,all,0.125,0.067,0.429,12.33,1522,5.292,46.4,True,long | all/all | WR 43% at 12.3/day
bearish_di & ema9>21,long,all,all,0.1146,0.102,0.418,12.65,1561,5.288,11.0,True,long | all/all | WR 42% at 12.7/day
price>ema21 & price>vwap,short,all,all,0.1085,0.0878,0.406,13.0,1604,5.273,19.1,True,short | all/all | WR 41% at 13.0/day
adx>20 & cci<-100,long,all,all,0.1314,0.1464,0.438,12.03,1484,5.268,-11.4,True,long | all/all | WR 44% at 12.0/day
after_30m & vwma9>21 & cci<0,long,all,all,0.1078,0.0948,0.412,12.72,1569,5.243,12.0,True,long | all/all | WR 41% at 12.7/day
macd<0 & mom10>0,short,all,all,0.0983,0.0997,0.415,12.59,1553,5.223,-1.4,True,short | all/all | WR 42% at 12.6/day
price>ema21 & ema9>21,short,all,all,0.1106,0.1084,0.412,12.53,1546,5.162,2.0,True,short | all/all | WR 41% at 12.5/day
after_30m & vwma9>21 & cci>0,long,all,all,0.1239,0.0659,0.425,12.09,1492,5.143,46.8,True,long | all/all | WR 42% at 12.1/day
ema21>50 & cci<0 & price<ema9,long,all,all,0.1376,0.1013,0.417,12.32,1520,5.133,26.4,True,long | all/all | WR 42% at 12.3/day
ema21>50 & price<ema21,long,all,all,0.1155,0.077,0.411,12.47,1539,5.13,33.3,True,long | all/all | WR 41% at 12.5/day
price<ema9 & rsi<35,long,all,all,0.1082,0.0891,0.412,12.45,1536,5.129,17.6,True,long | all/all | WR 41% at 12.4/day
macd<0 & price>ema21,long,all,all,0.1038,0.054,0.412,12.45,1536,5.124,48.0,True,long | all/all | WR 41% at 12.4/day
rsi<40 & macd<0,long,all,all,0.1106,0.1352,0.425,11.99,1479,5.098,-22.3,True,long | all/all | WR 42% at 12.0/day
macd<0 & mom10<0,long,all,all,0.0842,0.1126,0.421,12.09,1492,5.095,-33.6,True,long | all/all | WR 42% at 12.1/day
cci>0 & ema9>21,short,all,all,0.1237,0.1014,0.416,12.24,1510,5.095,18.0,True,short | all/all | WR 42% at 12.2/day
above_kcu & bb_pct>80,long,all,all,0.1469,0.0696,0.422,12.02,1483,5.068,52.6,True,long | all/all | WR 42% at 12.0/day
cci<0 & rsi<40 & macd<0,long,all,all,0.1135,0.1386,0.425,11.93,1472,5.066,-22.1,True,long | all/all | WR 42% at 11.9/day
cci<0 & rsi<35,long,all,all,0.1113,0.0862,0.413,12.27,1514,5.063,22.6,True,long | all/all | WR 41% at 12.3/day
above_kcu & roc5>0,long,all,all,0.1317,0.0618,0.426,11.87,1465,5.062,53.1,True,long | all/all | WR 43% at 11.9/day
rsi<40 & rsi<35,long,all,all,0.108,0.0822,0.411,12.31,1519,5.06,23.9,True,long | all/all | WR 41% at 12.3/day
rsi<35,long,all,all,0.108,0.0822,0.411,12.31,1519,5.06,23.9,True,long | all/all | WR 41% at 12.3/day
rsi<40 & adx>20,long,all,all,0.0983,0.0825,0.409,12.33,1522,5.049,16.1,True,long | all/all | WR 41% at 12.3/day
bearish_di & rsi<35,long,all,all,0.1098,0.079,0.409,12.28,1515,5.026,28.0,True,long | all/all | WR 41% at 12.3/day
mom10<0 & rsi<35,long,all,all,0.1134,0.0875,0.413,12.15,1499,5.017,22.8,True,long | all/all | WR 41% at 12.2/day
price<ema21 & price>vwap,long,all,all,0.083,0.0894,0.415,12.08,1490,5.007,-7.7,True,long | all/all | WR 42% at 12.1/day
below_kcl & mom10<0,long,all,all,0.1665,0.1474,0.434,11.52,1422,5.002,11.4,True,long | all/all | WR 43% at 11.5/day
price<ema21 & rsi<35,long,all,all,0.104,0.0811,0.411,12.18,1503,5.002,22.0,True,long | all/all | WR 41% at 12.2/day
below_kcl & price<ema9,long,all,all,0.164,0.1447,0.433,11.51,1420,4.979,11.7,True,long | all/all | WR 43% at 11.5/day
below_kcl & cci<0 & price<ema9,long,all,all,0.164,0.1447,0.433,11.51,1420,4.979,11.7,True,long | all/all | WR 43% at 11.5/day
below_kcl & cci<0,long,all,all,0.1637,0.1447,0.433,11.51,1420,4.979,11.6,True,long | all/all | WR 43% at 11.5/day
below_kcl,long,all,all,0.1637,0.1447,0.433,11.51,1420,4.979,11.6,True,long | all/all | WR 43% at 11.5/day
price<vwap & mom10<0,long,all,all,0.1157,0.1293,0.433,11.49,1418,4.972,-11.7,True,long | all/all | WR 43% at 11.5/day
ema21>50 & bullish_di & price>ema21,long,all,all,0.1007,0.0995,0.425,11.69,1442,4.971,1.2,True,long | all/all | WR 42% at 11.7/day
below_kcl & price<ema21,long,all,all,0.1632,0.1436,0.432,11.49,1418,4.964,12.0,True,long | all/all | WR 43% at 11.5/day
price<vwap & mom10>0,short,all,all,0.0992,0.151,0.438,11.34,1399,4.962,-52.3,True,short | all/all | WR 44% at 11.3/day
after_30m & rsi<40 & macd<0,long,all,all,0.1203,0.1475,0.427,11.62,1434,4.958,-22.5,True,long | all/all | WR 43% at 11.6/day
after_30m & macd<0 & price>ema21,long,all,all,0.1033,0.0567,0.414,11.97,1477,4.952,45.2,True,long | all/all | WR 41% at 12.0/day
cci>0 & price>vwap,short,all,all,0.1205,0.1003,0.413,11.99,1479,4.95,16.8,True,short | all/all | WR 41% at 12.0/day
cci<0 & price>ema21,short,all,all,0.098,0.0816,0.415,11.91,1470,4.948,16.8,True,short | all/all | WR 42% at 11.9/day
below_kcl & bearish_di,long,all,all,0.1643,0.1421,0.432,11.42,1409,4.933,13.5,True,long | all/all | WR 43% at 11.4/day
price<ema9 & bullish_di & price>ema21,long,all,all,0.0903,0.0552,0.418,11.78,1454,4.922,38.8,True,long | all/all | WR 42% at 11.8/day
vwma9>21 & macd_xdn,long,all,all,0.1377,0.1095,0.43,11.44,1411,4.921,20.5,True,long | all/all | WR 43% at 11.4/day
cci<0 & ema9>21,long,all,all,0.1342,0.1047,0.412,11.94,1473,4.918,22.0,True,long | all/all | WR 41% at 11.9/day
price>vwap & rsi50_xdn,long,all,all,0.0783,0.0817,0.41,12.0,1481,4.917,-4.3,True,long | all/all | WR 41% at 12.0/day
price>ema50,long,all,all,0.1398,0.0847,0.424,11.55,1425,4.893,39.5,True,long | all/all | WR 42% at 11.6/day
macd<0 & price<ema21,long,all,all,0.1135,0.1435,0.431,11.34,1399,4.887,-26.4,True,long | all/all | WR 43% at 11.3/day
below_kcl & cci<-100,long,all,all,0.173,0.1681,0.435,11.21,1383,4.879,2.8,True,long | all/all | WR 44% at 11.2/day
cci>100 & price>vwap,long,all,all,0.1524,0.0804,0.426,11.41,1408,4.861,47.2,True,long | all/all | WR 43% at 11.4/day
squeeze_on,long,all,all,0.092,0.0579,0.412,11.76,1451,4.849,37.1,True,long | all/all | WR 41% at 11.8/day
bearish_di & price>vwap,long,all,all,0.1151,0.0852,0.416,11.65,1437,4.845,25.9,True,long | all/all | WR 42% at 11.7/day
after_30m & rsi<35,long,all,all,0.1199,0.0911,0.411,11.78,1453,4.844,24.0,True,long | all/all | WR 41% at 11.8/day
above_kcu & price>ema9,long,all,all,0.1454,0.0617,0.422,11.4,1407,4.816,57.6,True,long | all/all | WR 42% at 11.4/day
above_kcu,long,all,all,0.147,0.0624,0.423,11.39,1406,4.816,57.6,True,long | all/all | WR 42% at 11.4/day
above_kcu & price>ema21,long,all,all,0.1465,0.0628,0.423,11.39,1406,4.816,57.1,True,long | all/all | WR 42% at 11.4/day
cci>0 & above_kcu & price>ema21,long,all,all,0.1465,0.0628,0.423,11.39,1406,4.816,57.1,True,long | all/all | WR 42% at 11.4/day
cci>0 & above_kcu,long,all,all,0.147,0.0624,0.423,11.39,1406,4.816,57.6,True,long | all/all | WR 42% at 11.4/day
above_kcu & mom10>0,long,all,all,0.1468,0.0596,0.421,11.43,1410,4.815,59.4,True,long | all/all | WR 42% at 11.4/day
ema21>50 & cci>0 & price>ema21,long,all,all,0.0754,0.0882,0.428,11.24,1387,4.807,-17.0,True,long | all/all | WR 43% at 11.2/day
cci>0 & above_kcu & bullish_di,long,all,all,0.1484,0.0652,0.422,11.34,1399,4.788,56.1,True,long | all/all | WR 42% at 11.3/day
above_kcu & bullish_di,long,all,all,0.1484,0.0652,0.422,11.34,1399,4.788,56.1,True,long | all/all | WR 42% at 11.3/day
above_kcu & bullish_di & price>ema21,long,all,all,0.1478,0.0657,0.422,11.34,1399,4.788,55.6,True,long | all/all | WR 42% at 11.3/day
ema21>50 & cci>0 & bullish_di,long,all,all,0.0977,0.0968,0.426,11.19,1381,4.764,0.9,True,long | all/all | WR 43% at 11.2/day
cci>100 & above_kcu & price>ema21,long,all,all,0.1672,0.0846,0.428,11.13,1373,4.759,49.4,True,long | all/all | WR 43% at 11.1/day
cci>100 & cci>0 & above_kcu,long,all,all,0.1675,0.0841,0.428,11.13,1373,4.759,49.8,True,long | all/all | WR 43% at 11.1/day
cci>100 & above_kcu,long,all,all,0.1675,0.0841,0.428,11.13,1373,4.759,49.8,True,long | all/all | WR 43% at 11.1/day
after_30m & below_kcl & cci<0,long,all,all,0.1803,0.1508,0.433,10.97,1353,4.748,16.4,True,long | all/all | WR 43% at 11.0/day
after_30m & below_kcl & price<ema9,long,all,all,0.1802,0.1517,0.433,10.96,1352,4.748,15.8,True,long | all/all | WR 43% at 11.0/day
after_30m & below_kcl,long,all,all,0.1803,0.1508,0.433,10.97,1353,4.748,16.4,True,long | all/all | WR 43% at 11.0/day
price>ema50,short,all,all,0.0542,0.0544,0.409,11.55,1425,4.727,-0.3,True,short | all/all | WR 41% at 11.6/day
ema21>50 & bullish_di,long,all,all,0.1082,0.1001,0.429,11.01,1358,4.725,7.5,True,long | all/all | WR 43% at 11.0/day
above_kcu & ema9>21,long,all,all,0.1374,0.0685,0.427,11.07,1366,4.723,50.1,True,long | all/all | WR 43% at 11.1/day
cci>100 & above_kcu & bullish_di,long,all,all,0.1675,0.0806,0.426,11.08,1367,4.716,51.9,True,long | all/all | WR 43% at 11.1/day
squeeze_on,short,all,all,0.0835,0.0575,0.401,11.76,1451,4.712,31.2,True,short | all/all | WR 40% at 11.8/day
above_kcu,short,all,all,0.0328,0.0753,0.413,11.39,1406,4.702,-129.8,True,short | all/all | WR 41% at 11.4/day
below_kcl & cci<0 & rsi<40,long,all,all,0.1444,0.1316,0.428,10.94,1350,4.683,8.9,True,long | all/all | WR 43% at 10.9/day
below_kcl & rsi<40,long,all,all,0.1444,0.1316,0.428,10.94,1350,4.683,8.9,True,long | all/all | WR 43% at 10.9/day
below_kcl & rsi<40 & price<ema9,long,all,all,0.1451,0.1316,0.428,10.94,1350,4.683,9.3,True,long | all/all | WR 43% at 10.9/day
cci<-100 & rsi<35,long,all,all,0.1389,0.1469,0.433,10.8,1333,4.678,-5.8,True,long | all/all | WR 43% at 10.8/day
cci<0 & bullish_di,long,all,all,0.1258,0.0795,0.402,11.63,1435,4.671,36.8,True,long | all/all | WR 40% at 11.6/day
after_30m & cci<0 & price>ema21,short,all,all,0.0981,0.067,0.409,11.38,1404,4.65,31.7,True,short | all/all | WR 41% at 11.4/day
vwma9>21 & vwma_xup,long,all,all,0.1402,0.065,0.426,10.85,1339,4.626,53.6,True,long | all/all | WR 43% at 10.8/day
vwma_xup,long,all,all,0.1402,0.065,0.426,10.85,1339,4.626,53.6,True,long | all/all | WR 43% at 10.8/day
cci>100 & ema21>50 & cci>0,long,all,all,0.1134,0.0736,0.418,11.01,1359,4.6,35.1,True,long | all/all | WR 42% at 11.0/day
cci>100 & ema21>50,long,all,all,0.1134,0.0736,0.418,11.01,1359,4.6,35.1,True,long | all/all | WR 42% at 11.0/day
cci>100 & ema21>50 & price>ema21,long,all,all,0.1134,0.0736,0.418,11.01,1359,4.6,35.1,True,long | all/all | WR 42% at 11.0/day
price<ema21 & price<vwap,long,all,all,0.1349,0.1274,0.426,10.79,1331,4.592,5.6,True,long | all/all | WR 43% at 10.8/day
ema21>50 & price>ema21,short,all,all,0.1001,0.0674,0.402,11.43,1410,4.59,32.7,True,short | all/all | WR 40% at 11.4/day
vwma9>21 & above_kcu & bullish_di,long,all,all,0.1489,0.0608,0.418,10.96,1352,4.58,59.2,True,long | all/all | WR 42% at 11.0/day
vwma9>21 & cci>100 & above_kcu,long,all,all,0.1647,0.0778,0.423,10.81,1334,4.569,52.8,True,long | all/all | WR 42% at 10.8/day
after_30m & ema21>50 & bullish_di,long,all,all,0.1119,0.0949,0.424,10.75,1326,4.556,15.2,True,long | all/all | WR 42% at 10.8/day
macd_xdn & adx>20,long,all,all,0.1149,0.0921,0.426,10.68,1318,4.554,19.8,True,long | all/all | WR 43% at 10.7/day
ema21>50 & bearish_di,long,all,all,0.1225,0.0927,0.411,11.08,1367,4.553,24.3,True,long | all/all | WR 41% at 11.1/day
price>ema21 & price<vwap,short,all,all,0.1129,0.1661,0.448,10.13,1250,4.538,-47.2,True,short | all/all | WR 45% at 10.1/day
ema21>50 & cci>0,long,all,all,0.0714,0.08,0.426,10.62,1311,4.53,-12.0,True,long | all/all | WR 43% at 10.6/day
